Ticket_ID,Account_ID,Opened_At_UTC,First_Response_At_UTC,First_Response_Type,Meaningful_Response_At_UTC,Resolved_At_UTC,Reported_Priority,Service_Area,Category,Impacted_Users,CRM_Tier_Snapshot,Channel,Internal_Test,Duplicate_Of,Cancelled,Major_Incident_Declared,Analyst_Notes
TCK-1001,ACC-100,2026-05-01 09:12,2026-05-01 09:14,Auto acknowledgement,2026-05-01 10:37,2026-05-01 12:37,P3,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,New user access to reporting folder
TCK-1002,ACC-240,2026-05-01 11:40,2026-05-01 11:42,Auto acknowledgement,2026-05-01 19:40,2026-05-01 21:40,P4,BI & Reporting,Report Request,3,Standard,Email,FALSE,,FALSE,FALSE,Ad hoc extract request
TCK-1003,ACC-200,2026-05-02 08:05,2026-05-02 08:15,Human reply,2026-05-02 08:15,2026-05-02 11:05,P1,Finance Systems,Major Outage,38,Gold,Phone,FALSE,,FALSE,TRUE,Finance posting outage; major incident opened
TCK-1004,ACC-210,2026-05-02 13:22,2026-05-02 13:24,Auto acknowledgement,2026-05-02 13:57,2026-05-02 16:22,P2,HR System,App Error,7,Standard,Portal,FALSE,,FALSE,FALSE,Payroll validation error
TCK-1005,ACC-110,2026-05-03 10:15,2026-05-03 10:17,Auto acknowledgement,2026-05-03 12:15,2026-05-03 14:15,P3,Data Platform,Data Issue,2,Standard,Portal,FALSE,,FALSE,FALSE,Small data correction request
TCK-1006,ACC-100,2026-05-03 15:32,2026-05-03 15:34,Auto acknowledgement,2026-05-03 20:32,2026-05-03 22:32,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Shared mailbox permission
TCK-1007,ACC-110,2026-05-04 09:05,2026-05-04 09:07,Auto acknowledgement,2026-05-04 12:45,2026-05-04 14:45,P3,Data Platform,Performance,4,Standard,Email,FALSE,,FALSE,FALSE,Slow dashboard refresh
TCK-1008,ACC-210,2026-05-04 10:10,2026-05-04 10:12,Auto acknowledgement,2026-05-04 11:30,2026-05-04 13:30,P2,HR System,App Error,6,Standard,Portal,FALSE,,FALSE,FALSE,Workflow error after release
TCK-1009,ACC-240,2026-05-05 14:45,2026-05-05 14:47,Auto acknowledgement,2026-05-06 02:35,2026-05-06 04:35,P4,BI & Reporting,Report Request,1,Standard,Email,FALSE,,FALSE,FALSE,Low priority extract
TCK-1010,ACC-120,2026-05-06 09:18,2026-05-06 09:20,Auto acknowledgement,2026-05-06 10:03,2026-05-06 12:18,P3,Data Platform,Data Issue,6,Standard,Portal,FALSE,,FALSE,FALSE,Data issue affecting six payroll users
TCK-1011,ACC-100,2026-05-06 11:05,2026-05-06 11:07,Auto acknowledgement,2026-05-06 11:35,2026-05-06 14:05,P3,Corporate Apps,App Error,2,Standard,Portal,FALSE,,FALSE,FALSE,Form submission failure
TCK-1012,ACC-100,2026-05-07 16:14,2026-05-07 16:16,Auto acknowledgement,2026-05-08 02:14,2026-05-08 04:14,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Permission change
TCK-1013,ACC-200,2026-05-08 08:50,2026-05-08 08:52,Auto acknowledgement,2026-05-08 09:49,2026-05-08 11:50,P2,Finance Systems,App Error,4,Gold,Phone,FALSE,,FALSE,FALSE,Posting screen error
TCK-1014,ACC-220,2026-05-08 12:35,2026-05-08 12:37,Auto acknowledgement,2026-05-08 15:55,2026-05-08 17:55,P3,BI & Reporting,Report Request,11,Standard,Email,FALSE,,FALSE,FALSE,Recurring board-pack extract failing for multiple Gold account users; CRM tier snapshot not refreshed
TCK-1015,ACC-120,2026-05-09 09:08,2026-05-09 09:10,Auto acknowledgement,2026-05-09 10:20,2026-05-09 12:20,P3,Data Platform,Data Issue,5,Standard,Portal,FALSE,,FALSE,FALSE,Data issue should be treated as effective P2
TCK-1016,ACC-100,2026-05-09 14:27,2026-05-09 14:29,Auto acknowledgement,2026-05-09 15:27,2026-05-09 17:27,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Add distribution list member
TCK-1017,ACC-110,2026-05-10 10:01,2026-05-10 10:03,Auto acknowledgement,2026-05-10 13:51,2026-05-10 15:51,P3,Data Platform,Performance,3,Standard,Email,FALSE,,FALSE,FALSE,Refresh latency
TCK-1018,ACC-210,2026-05-10 13:49,2026-05-10 14:01,Human reply,2026-05-10 14:01,2026-05-10 16:49,P2,HR System,App Error,8,Standard,Phone,FALSE,,FALSE,FALSE,Error creating employee record
TCK-1019,ACC-230,2026-05-11 09:31,2026-05-11 09:33,Auto acknowledgement,2026-05-11 14:31,2026-05-11 16:31,P3,BI & Reporting,Report Request,2,Standard,Email,FALSE,,FALSE,FALSE,Management report amendment
TCK-1020,ACC-100,2026-05-11 15:05,2026-05-11 15:07,Auto acknowledgement,2026-05-12 03:04,2026-05-12 05:04,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Low priority role request
TCK-1021,ACC-110,2026-05-12 08:45,2026-05-12 08:47,Auto acknowledgement,2026-05-12 11:45,2026-05-12 13:45,P3,Data Platform,Data Issue,1,Standard,Portal,FALSE,,FALSE,FALSE,One record missing from export
TCK-1022,ACC-210,2026-05-12 11:12,2026-05-12 11:14,Auto acknowledgement,2026-05-12 12:02,2026-05-12 14:12,P3,HR System,Performance,12,,Portal,FALSE,,FALSE,FALSE,Gold customer with 12 impacted users; effective P2
TCK-1023,ACC-240,2026-05-13 13:50,2026-05-13 13:52,Auto acknowledgement,2026-05-13 14:30,2026-05-13 16:50,P4,BI & Reporting,Report Request,1,Standard,Email,FALSE,,FALSE,FALSE,Small scheduled report question
TCK-1024,ACC-200,2026-05-13 15:07,2026-05-13 15:09,Auto acknowledgement,2026-05-13 15:34,2026-05-13 18:07,P2,Finance Systems,Major Outage,42,Gold,Phone,FALSE,,FALSE,FALSE,"Finance outage logged P2, but impact makes it effective P1; no major incident flag"
TCK-1025,ACC-100,2026-05-14 09:40,2026-05-14 09:42,Auto acknowledgement,2026-05-14 10:50,2026-05-14 12:50,P3,Corporate Apps,App Error,2,Standard,Portal,FALSE,,FALSE,FALSE,Minor UI error
TCK-1026,ACC-100,2026-05-14 16:30,2026-05-14 16:32,Auto acknowledgement,2026-05-15 00:50,2026-05-15 02:50,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Folder access
TCK-1027,ACC-120,2026-05-15 08:55,2026-05-15 08:57,Auto acknowledgement,2026-05-15 09:53,2026-05-15 11:55,P2,Data Platform,Data Issue,10,Standard,Portal,FALSE,,FALSE,FALSE,Batch data mismatch
TCK-1028,ACC-110,2026-05-15 12:20,2026-05-15 12:22,Auto acknowledgement,2026-05-15 16:15,2026-05-15 18:15,P3,Data Platform,Performance,3,Standard,Email,FALSE,,FALSE,FALSE,Dashboard taking long to open
TCK-1029,ACC-200,2026-05-16 09:05,2026-05-16 09:07,Auto acknowledgement,,2026-05-16 15:05,P2,Corporate Apps,App Error,9,Gold,Portal,FALSE,,FALSE,FALSE,No meaningful response logged in May export
TCK-1030,ACC-240,2026-05-16 13:18,2026-05-16 13:20,Auto acknowledgement,2026-05-16 14:58,2026-05-16 16:58,P4,BI & Reporting,Report Request,2,Standard,Email,FALSE,,FALSE,FALSE,Question on existing report
TCK-1031,ACC-100,2026-05-17 10:50,2026-05-17 10:52,Auto acknowledgement,2026-05-17 12:20,2026-05-17 14:20,P3,Corporate Apps,App Error,2,Standard,Portal,FALSE,,FALSE,FALSE,Validation error
TCK-1032,ACC-120,2026-05-17 15:33,2026-05-17 15:35,Auto acknowledgement,2026-05-17 15:53,2026-05-17 18:33,P3,Data Platform,Data Issue,7,Standard,Portal,FALSE,,FALSE,FALSE,Seven users affected; effective P2
TCK-1033,ACC-230,2026-05-18 09:10,2026-05-18 09:12,Auto acknowledgement,2026-05-18 13:50,2026-05-18 15:50,P3,BI & Reporting,Report Request,4,Standard,Email,FALSE,,FALSE,FALSE,Late analyst assignment
TCK-1034,ACC-100,2026-05-18 12:02,2026-05-18 12:04,Auto acknowledgement,2026-05-19 00:01,2026-05-19 02:01,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Role request just within SLA
TCK-1035,ACC-210,2026-05-19 08:44,2026-05-19 08:46,Auto acknowledgement,2026-05-19 09:39,2026-05-19 11:44,P2,HR System,App Error,6,Standard,Phone,FALSE,,FALSE,FALSE,HR form outage for one team
TCK-1036,ACC-110,2026-05-19 14:28,2026-05-19 14:30,Auto acknowledgement,2026-05-19 16:58,2026-05-19 18:58,P3,Data Platform,Data Issue,3,Standard,Portal,FALSE,,FALSE,FALSE,Three records corrected
TCK-1037,ACC-100,2026-05-20 10:16,2026-05-20 10:30,Human reply,2026-05-20 10:30,2026-05-20 13:16,P3,Corporate Apps,Major Outage,28,Standard,Phone,FALSE,,FALSE,TRUE,Major outage reported as P3 but impact makes it effective P1
TCK-1038,ACC-240,2026-05-20 16:41,2026-05-20 16:43,Auto acknowledgement,2026-05-20 16:51,2026-05-20 19:41,P4,BI & Reporting,Report Request,1,Standard,Email,FALSE,,FALSE,FALSE,Simple subscription question
TCK-1039,ACC-110,2026-05-21 09:22,2026-05-21 09:24,Auto acknowledgement,2026-05-21 10:02,2026-05-21 12:22,P2,Data Platform,Performance,9,Standard,Portal,FALSE,,FALSE,FALSE,Data load delays
TCK-1040,ACC-100,2026-05-21 13:11,2026-05-21 13:13,Auto acknowledgement,2026-05-21 17:01,2026-05-21 19:01,P3,Corporate Apps,App Error,2,Standard,Portal,FALSE,,FALSE,FALSE,Non-blocking issue
TCK-1041,ACC-220,2026-05-22 08:35,2026-05-22 08:37,Auto acknowledgement,2026-05-22 10:10,2026-05-22 12:10,P3,Data Platform,Data Issue,9,Standard,Portal,FALSE,,FALSE,FALSE,Gold customer data issue; effective P2
TCK-1042,ACC-100,2026-05-22 15:59,2026-05-22 16:01,Auto acknowledgement,2026-05-23 03:49,2026-05-23 05:49,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Folder permission request
TCK-1046,ACC-240,2026-05-26 08:25,2026-05-26 08:27,Auto acknowledgement,2026-05-26 23:25,2026-05-27 01:25,P4,BI & Reporting,Report Request,1,Standard,Email,FALSE,,FALSE,FALSE,Report request sat unassigned overnight
TCK-1043,ACC-100,2026-05-23 09:03,2026-05-23 09:05,Auto acknowledgement,2026-05-23 09:18,2026-05-23 12:03,P4,Identity,Password Reset,1,Standard,Portal,FALSE,,FALSE,FALSE,Self-service password reset; excluded by rules
TCK-1044,ACC-250,2026-05-23 10:10,2026-05-23 10:12,Auto acknowledgement,2026-05-23 10:15,2026-05-23 13:10,P2,Corporate Apps,App Error,20,Standard,Portal,TRUE,,FALSE,FALSE,Synthetic monitoring test generated by IT
TCK-1045,ACC-120,2026-05-24 11:45,2026-05-24 11:47,Auto acknowledgement,2026-05-24 12:15,2026-05-24 14:45,P2,Data Platform,Data Issue,10,Standard,Portal,FALSE,TCK-1027,FALSE,FALSE,Duplicate of TCK-1027
TCK-1047,ACC-250,2026-05-26 13:18,2026-05-26 13:20,Auto acknowledgement,,2026-05-26 19:18,P3,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,TRUE,FALSE,User cancelled before triage
TCK-1048,ACC-100,2026-05-27 09:44,2026-05-27 09:46,Auto acknowledgement,2026-05-27 09:56,2026-05-27 12:44,P4,Identity,Password Reset,1,Standard,Portal,FALSE,,FALSE,FALSE,Self-service password reset; excluded by rules
TCK-1049,ACC-200,2026-05-28 15:05,2026-05-28 15:13,Human reply,2026-05-28 15:13,2026-05-28 18:05,P1,Finance Systems,Major Outage,99,Gold,Phone,TRUE,,FALSE,TRUE,Disaster-recovery exercise; internal test
TCK-1050,ACC-210,2026-05-29 10:39,2026-05-29 10:41,Auto acknowledgement,2026-05-29 11:04,2026-05-29 13:39,P2,HR System,App Error,6,Standard,Portal,FALSE,TCK-1008,FALSE,FALSE,Duplicate raised by second user
TCK-1051,ACC-240,2026-05-30 08:18,2026-05-30 08:20,Auto acknowledgement,,2026-05-30 14:18,P4,BI & Reporting,Report Request,2,Standard,Email,FALSE,,TRUE,FALSE,Cancelled after requester confirmed no longer needed
